id,name,description,sku,date,price,units,status,created_at,updated_at,category
,AGUA NATURAL,Producto,12,2012-11-15,12,PIEZA,,2012-09-22 16:31:40.24896,,REFRESCOS
,COCA COLA,Producto,13,2012-11-15,12,PIEZA,,,,REFRESCOS
,COCA COLA VIDRIO,Producto,14,2012-11-15,12,PIEZA,,,,REFRESCOS
,COCA LIGHT,Producto,15,2012-11-15,12,PIEZA,,,,REFRESCOS
,COCA LIGHT VIDRIO,Producto,16,2012-11-11,12,PIEZA,,,,REFRESCOS
,COCA ZERO,Producto,17,2012-11-10,12,PIEZA,,,,REFRESCOS
,COCA ZERO VIDRIO,Producto,18,2012-11-9,12,PIEZA,,,,REFRESCOS
,MANZANA LATA,Producto,19,2012-11-8,12,PIEZA,,,,REFRESCOS
,MANZANA VIDRIO,Producto,20,2012-11-7,12,PIEZA,,,,REFRESCOS
,SPRITE LATA,Producto,21,2012-11-6,12,PIEZA,,,,REFRESCOS
,SPRITE VIDRIO,Producto,22,2012-11-5,12,PIEZA,,,,REFRESCOS
,FANTA LATA,Producto,23,2012-11-4,12,PIEZA,,,,REFRESCOS
,FANTA VIDRIO,Producto,24,2012-11-3,12,PIEZA,,,,REFRESCOS
,TORONJA VIDRIO,Producto,25,2012-11-2,12,PIEZA,,,,REFRESCOS
,TOPO CHICO AGUA MINERAL,Producto,26,2012-11-1,12,PIEZA,,,,REFRESCOS
,SANGRIA,Producto,27,2012-11-10,12,PIEZA,,,,REFRESCOS
,SANGRIA LIGHT,Producto,28,2012-11-10,12,PIEZA,,,,REFRESCOS
,LIPTON,Producto,29,2012-11-10,12,PIEZA,,,,REFRESCOS
,FUZE TE NEGRO,Producto,30,2012-11-10,12,PIEZA,,,,REFRESCOS
,FUZE TE VERDE,Producto,31,2012-11-12,12,PIEZA,,,,REFRESCOS
,FUZE TE DURAZNO,Producto,32,2012-11-12,12,PIEZA,,,,REFRESCOS
,BE LIGHT,Producto,33,2012-11-12,12,PIEZA,,,,REFRESCOS
,UVA LATA,Producto,34,2012-11-12,12,PIEZA,,,,REFRESCOS
