id;name;description;sku;date;price;units;status;created_at;updated_at;category
1;AGUA NATURAL;lakc;12;2012-11-15;12;PIEZA;;;;REFRESCOS
2;COCA COLA;;13;2012-11-15;12;PIEZA;;;;REFRESCOS
3;COCA COLA VIDRIO;;14;2012-11-15;12;PIEZA;;;;REFRESCOS
4;COCA LIGHT;;15;2012-11-15;12;PIEZA;;;;REFRESCOS
5;COCA LIGHT VIDRIO;;16;2012-11-11;12;PIEZA;;;;REFRESCOS
6;COCA ZERO;;17;2012-11-10;12;PIEZA;;;;REFRESCOS
7;COCA ZERO VIDRIO;;18;2012-11-9;12;PIEZA;;;;REFRESCOS
8;MANZANA LATA;;19;2012-11-8;12;PIEZA;;;;REFRESCOS
9;MANZANA VIDRIO;;20;2012-11-7;12;PIEZA;;;;REFRESCOS
10;SPRITE LATA;;21;2012-11-6;12;PIEZA;;;;REFRESCOS
11;SPRITE VIDRIO;;22;2012-11-5;12;PIEZA;;;;REFRESCOS
12;FANTA LATA;;23;2012-11-4;12;PIEZA;;;;REFRESCOS
13;FANTA VIDRIO;;24;2012-11-3;12;PIEZA;;;;REFRESCOS
14;TORONJA VIDRIO;;25;2012-11-2;12;PIEZA;;;;REFRESCOS
15;TOPO CHICO AGUA MINERAL;;26;2012-11-1;12;PIEZA;;;;REFRESCOS
16;SANGRIA;;27;2012-11-10;12;PIEZA;;;;REFRESCOS
17;SANGRIA LIGHT;;28;2012-11-10;12;PIEZA;;;;REFRESCOS
18;LIPTON;;29;2012-11-10;12;PIEZA;;;;REFRESCOS
19;FUZE TE NEGRO;;30;2012-11-10;12;PIEZA;;;;REFRESCOS
20;FUZE TE VERDE;;31;2012-11-12;12;PIEZA;;;;REFRESCOS
21;FUZE TE DURAZNO;;32;2012-11-12;12;PIEZA;;;;REFRESCOS
22;BE LIGHT;;33;2012-11-12;12;PIEZA;;;;REFRESCOS
23;UVA LATA;;34;2012-11-12;12;PIEZA;;;;REFRESCOS
24;JOYA PONCHE VIDRIO;;35;2012-11-12;12;PIEZA;;;;REFRESCOS
25;JOYA DE SABORES;;36;2012-11-12;12;PIEZA;;;;REFRESCOS
26;ACAPULCOCO;;37;2012-11-12;12;PIEZA;;;;REFRESCOS
27;HEINEKEN;;38;2012-11-12;28;PIEZA;;;;CERVEZA
28;JUGO DE NARANJA 1/2 LTO;;39;2012-11-12;30;PIEZA;;;;REFRESCOS
29;JUGO DE NARANJA LTO;;40;2012-11-12;60;PIEZA;;;;REFRESCOS
30;AGUA DE HORCHATA;;41;2012-11-12;12;PIEZA;;;;REFRESCOS
31;AGUA JAMAICA;;42;2012-11-12;12;PIEZA;;;;REFRESCOS
32;AGUA LIMON;;43;2012-11-12;12;PIEZA;;;;REFRESCOS
33;AGUA TAMARINDO;;44;2012-11-12;12;PIEZA;;;;REFRESCOS
34;TORTITA DE PAPA;;45;2012-11-12;3;PIEZA;;;;GUISOS
35;ASADO ;;46;2012-11-12;75;LITRO;;;;GUISOS
36;BARBACOA;;47;2012-11-12;75;LITRO;;;;GUISOS
37;CARNE ASADA;;48;2012-11-12;75;LITRO;;;;GUISOS
38;CARNITAS;;49;2012-11-12;75;LITRO;;;;GUISOS
39;CARNITAS SALSA;;50;2012-11-12;75;LITRO;;;;GUISOS
40;CHICHARRON;;51;2012-11-12;75;LITRO;;;;GUISOS
41;CHICHARRON SALSA;;52;2012-11-12;75;LITRO;;;;GUISOS
42;CORTADILLO;;53;2012-11-12;75;LITRO;;;;GUISOS
43;DESHEBRADA;;54;2012-11-12;75;LITRO;;;;GUISOS
44;FRIJOLES;;55;2012-11-12;75;LITRO;;;;GUISOS
45;HUEVO C/CHORIZO;;56;2012-11-12;75;LITRO;;;;GUISOS
46;MACHACADO;;57;2012-11-12;75;LITRO;;;;GUISOS
47;MENUDO;;58;2012-11-12;75;LITRO;;;;GUISOS
48;NOPALITOS;;59;2012-11-12;75;LITRO;;;;GUISOS
49;PAPA C/CHORIZO;;60;2012-11-12;75;LITRO;;;;GUISOS
50;PAPA C/HUEVO;;61;2012-11-12;75;LITRO;;;;GUISOS
51;PICADILLO;;62;2012-11-12;75;LITRO;;;;GUISOS
52;RAJAS C/QUESO;;63;2012-11-12;75;LITRO;;;;GUISOS
